,Keywords,Frequency
0,China,51
1,trade,47
2,US,47
3,Chinese,44
4,Trump,28
5,war,23
6,China’s,19
7,tariffs,16
8,U.S.,16
9,American,14
10,against,14
11,Beijing,13
12,see,11
13,economic,11
14,new,10
15,President,10
16,political,10
17,all,9
18,billion,9
19,out,9
20,so,9
21,could,9
22,"China,",9
23,administration,9
24,than,8
25,who,8
26,can,8
27,had,8
28,most,8
29,Pence,8
30,China.,8
31,his,8
32,we,8
33,United,8
34,Soviet,8
35,America,8
36,2018,7
37,going,7
38,while,7
39,(link,7
40,how,7
41,economy,7
42,their,7
43,long,7
44,Canada,7
45,other,7
46,one,7
47,Beijing’s,7
48,between,7
49,or,7
50,two,7
51,over,7
52,global,7
53,Russia,7
54,America’s,7
55,Global,7
56,Times,7
57,my,6
58,first,6
59,willing,6
60,stock,6
61,because,6
62,foreign,6
63,including,6
64,This,6
65,then,6
66,countries,6
67,make,6
68,even,6
69,itself,6
70,any,6
71,Mike,6
72,per,6
73,cent,6
74,do,6
75,just,6
76,But,6
77,Russian,6
78,enemy,6
79,cosmopolitan,6
80,might,5
81,And,5
82,goods,5
83,state,5
84,no,5
85,become,5
86,common,5
87,after,5
88,wrote,5
89,"US,",5
90,As,5
91,recent,5
92,pressure,5
93,Trade,5
94,domestic,5
95,talks,5
96,another,5
97,should,5
98,further,5
99,Zhong,5
100,Pompeo,5
101,there,5
102,into,5
103,Donald,5
104,such,5
105,conflict,5
106,midterm,5
107,Union,5
108,much,5
109,efforts,5
110,world,5
111,REIHAN,5
112,SALAM,5
113,conservatives,5
114,Putin,5
115,nationalist,5
116,speech,5
117,people,4
118,public,4
119,"year,",4
120,both,4
121,put,4
122,“The,4
123,show,4
124,Chinese),4
125,That,4
126,next,4
127,point,4
128,central,4
129,user,4
130,himself,4
131,far,4
132,now,4
133,"tariffs,",4
134,“I,4
135,It,4
136,A,4
137,NAFTA,4
138,some,4
139,difficult,4
140,"trade,",4
141,want,4
142,Mexico,4
143,agreement,4
144,wants,4
145,each,4
146,demands,4
147,Minister,4
148,US.,4
149,know,4
150,free,4
151,line,4
152,whether,4
153,advantage,4
154,Secretary,4
155,State,4
156,Foreign,4
157,Wang,4
158,were,4
159,tariff,4
160,change,4
161,technology,4
162,contain,4
163,market,4
164,country,4
165,business,4
166,Trump’s,4
167,take,4
168,European,4
169,those,4
170,talking,4
171,strategy,4
172,summit,4
173,"""We",4
174,Japan,4
175,early,4
176,relationship,4
177,States,4
178,question,4
179,president,4
180,when,4
181,different,4
182,rising,4
183,our,4
184,part,4
185,threat,4
186,democracies,4
187,commitment,4
188,cannot,4
189,What,3
190,"9,",3
191,increasing,3
